"Datetime","Station","WY","WYClass","Inundation","VolumeAdj","ConditionCode","Category","OrganismID","TaxonRank","TaxonName","LifeStage","Count","CPUEOrig","CPUE","fWY","fMonth","Date","Kingdom","Phylum","Subphylum","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Genus","Species","CommonName","Season2","Season1","Season3","Year","Month"
"2016-10-04 11:33:00","STTD",2017,"Wet",FALSE,17.2767548847549,1,"Terrestrial Insect",64,"Order","Diptera","Adults",14,0.81,0.81,"2017","10",2016-10-04,"Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","","","","","","","Diptera","Winter","Wet","Fall",2016,10
"2016-10-04 11:33:00","STTD",2017,"Wet",FALSE,17.2767548847549,1,"Terrestrial Insect",85,"Order","Thysanoptera","Adults",3,0.174,0.174,"2017","10",2016-10-04,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Thysanoptera","","","","","","","Thysanoptera","Winter","Wet","Fall",2016,10
"2016-10-04 11:33:00","STTD",2017,"Wet",FALSE,17.2767548847549,1,"Terrestrial Insect",63,"Order","Coleoptera","Adults",5,0.289,0.289,"2017","10",2016-10-04,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","","","","","","","Coleoptera","Winter","Wet","Fall",2016,10
"2016-10-04 11:33:00","STTD",2017,"Wet",FALSE,17.2767548847549,1,"Terrestrial Insect",63,"Order","Coleoptera","Larvae",2,0.116,0.116,"2017","10",2016-10-04,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","","","","","","","Coleoptera","Winter","Wet","Fall",2016,10
"2016-10-04 11:33:00","STTD",2017,"Wet",FALSE,17.2767548847549,1,"Aquatic Insect",34,"Family","Chironomidae","Pupae",1,0.058,0.058,"2017","10",2016-10-04,"Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","","","Chironomidae","Winter","Wet","Fall",2016,10
"2016-10-04 11:33:00","STTD",2017,"Wet",FALSE,17.2767548847549,1,"Aquatic Insect",34,"Family","Chironomidae","Larvae",1,0.058,0.058,"2017","10",2016-10-04,"Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","","","Chironomidae","Winter","Wet","Fall",2016,10
"2016-10-04 11:33:00","STTD",2017,"Wet",FALSE,17.2767548847549,1,"Terrestrial Insect",66,"Order","Hymenoptera","Adults",2,0.116,0.116,"2017","10",2016-10-04,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Hymenoptera","","","","","","","Hymenoptera","Winter","Wet","Fall",2016,10
"2016-10-04 11:33:00","STTD",2017,"Wet",FALSE,17.2767548847549,1,"Aquatic Non-Insect",15,"Family","Hyalellidae",NA,1,0.058,0.058,"2017","10",2016-10-04,"Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Hyalellidae","","","Hyalellidae","Winter","Wet","Fall",2016,10
"2016-10-04 11:33:00","STTD",2017,"Wet",FALSE,17.2767548847549,1,"Aquatic Insect",46,"Family","Coenagrionidae","Larvae",2,0.116,0.116,"2017","10",2016-10-04,"Animalia","Arthropoda","Hexapoda","Insecta","","","","Odonata","Zygoptera","","","Coenagrionidae","","","Coenagrionidae","Winter","Wet","Fall",2016,10
"2016-10-04 11:33:00","STTD",2017,"Wet",FALSE,17.2767548847549,1,"Terrestrial Insect",71,"Order","Hemiptera","Adults",241,13.949,13.949,"2017","10",2016-10-04,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Hemiptera","","","","","","","Hemiptera","Winter","Wet","Fall",2016,10
"2016-10-04 11:33:00","STTD",2017,"Wet",FALSE,17.2767548847549,1,"Terrestrial Insect",73,"Order","Lepidoptera","Larvae",1,0.058,0.058,"2017","10",2016-10-04,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Lepidoptera","","","","","","","Lepidoptera","Winter","Wet","Fall",2016,10
"2016-10-04 11:33:00","STTD",2017,"Wet",FALSE,17.2767548847549,1,"Terrestrial Non-Insect",157,"Order","Araneae",NA,1,0.058,0.058,"2017","10",2016-10-04,"Animalia","Arthropoda","Chelicerata","Arachnida","","","","Araneae","","","","","","","Araneae","Winter","Wet","Fall",2016,10
"2016-10-05 10:25:00","SHR",2017,"Wet",FALSE,26.6388349308349,1,"Aquatic Non-Insect",4,"Family","Naididae",NA,1,0.038,0.038,"2017","10",2016-10-05,"Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","","Naididae","Winter","Wet","Fall",2016,10
"2016-10-05 10:25:00","SHR",2017,"Wet",FALSE,26.6388349308349,1,"Aquatic Non-Insect",77,"Family","Hygrobatidae",NA,1,0.038,0.038,"2017","10",2016-10-05,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","","Acariformes","Trombidiformes","","","","Hygrobatidae","","","Hygrobatidae","Winter","Wet","Fall",2016,10
"2016-10-05 10:25:00","SHR",2017,"Wet",FALSE,26.6388349308349,1,"Aquatic Non-Insect",15,"Family","Hyalellidae",NA,3,0.113,0.113,"2017","10",2016-10-05,"Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Hyalellidae","","","Hyalellidae","Winter","Wet","Fall",2016,10
"2016-10-05 10:25:00","SHR",2017,"Wet",FALSE,26.6388349308349,1,"Terrestrial Insect",73,"Order","Lepidoptera","Larvae",2,0.075,0.075,"2017","10",2016-10-05,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Lepidoptera","","","","","","","Lepidoptera","Winter","Wet","Fall",2016,10
"2016-10-05 10:25:00","SHR",2017,"Wet",FALSE,26.6388349308349,1,"Aquatic Insect",34,"Family","Chironomidae","Pupae",1,0.038,0.038,"2017","10",2016-10-05,"Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","","","Chironomidae","Winter","Wet","Fall",2016,10
"2016-10-05 10:25:00","SHR",2017,"Wet",FALSE,26.6388349308349,1,"Terrestrial Insect",71,"Order","Hemiptera","Adults",12,0.45,0.45,"2017","10",2016-10-05,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Hemiptera","","","","","","","Hemiptera","Winter","Wet","Fall",2016,10
"2016-10-05 10:25:00","SHR",2017,"Wet",FALSE,26.6388349308349,1,"Terrestrial Insect",64,"Order","Diptera","Adults",8,0.3,0.3,"2017","10",2016-10-05,"Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","","","","","","","Diptera","Winter","Wet","Fall",2016,10
"2016-10-05 10:25:00","SHR",2017,"Wet",FALSE,26.6388349308349,1,"Terrestrial Insect",66,"Order","Hymenoptera","Adults",1,0.038,0.038,"2017","10",2016-10-05,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Hymenoptera","","","","","","","Hymenoptera","Winter","Wet","Fall",2016,10
"2016-10-19 10:30:00","SHR",2017,"Wet",FALSE,25.1651132651133,1,"Aquatic Non-Insect",15,"Family","Hyalellidae",NA,1,0.04,0.04,"2017","10",2016-10-19,"Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Hyalellidae","","","Hyalellidae","Winter","Wet","Fall",2016,10
"2016-10-19 10:30:00","SHR",2017,"Wet",FALSE,25.1651132651133,1,"Aquatic Non-Insect",4,"Family","Naididae",NA,2,0.079,0.079,"2017","10",2016-10-19,"Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","","Naididae","Winter","Wet","Fall",2016,10
"2016-10-19 10:30:00","SHR",2017,"Wet",FALSE,25.1651132651133,1,"Aquatic Insect",34,"Family","Chironomidae","Pupae",4,0.159,0.159,"2017","10",2016-10-19,"Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","","","Chironomidae","Winter","Wet","Fall",2016,10
"2016-10-19 10:30:00","SHR",2017,"Wet",FALSE,25.1651132651133,1,"Aquatic Non-Insect",9,"Family","Corophiidae",NA,1,0.04,0.04,"2017","10",2016-10-19,"Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Corophiidae","","","Corophiidae","Winter","Wet","Fall",2016,10
"2016-10-19 10:30:00","SHR",2017,"Wet",FALSE,25.1651132651133,1,"Aquatic Insect",30,"Family","Dytiscidae","Adults",3,0.119,0.119,"2017","10",2016-10-19,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","","","Dytiscidae","Winter","Wet","Fall",2016,10
"2016-10-19 10:30:00","SHR",2017,"Wet",FALSE,25.1651132651133,1,"Aquatic Insect",44,"Family","Corixidae","Larvae",1,0.04,0.04,"2017","10",2016-10-19,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Hemiptera","Heteroptera","","","Corixidae","","","Corixidae","Winter","Wet","Fall",2016,10
"2016-10-19 10:30:00","SHR",2017,"Wet",FALSE,25.1651132651133,1,"Terrestrial Insect",64,"Order","Diptera","Adults",17,0.676,0.676,"2017","10",2016-10-19,"Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","","","","","","","Diptera","Winter","Wet","Fall",2016,10
"2016-10-19 10:30:00","SHR",2017,"Wet",FALSE,25.1651132651133,1,"Terrestrial Non-Insect",157,"Order","Araneae",NA,3,0.119,0.119,"2017","10",2016-10-19,"Animalia","Arthropoda","Chelicerata","Arachnida","","","","Araneae","","","","","","","Araneae","Winter","Wet","Fall",2016,10
"2016-10-19 10:30:00","SHR",2017,"Wet",FALSE,25.1651132651133,1,"Terrestrial Insect",71,"Order","Hemiptera","Adults",9,0.358,0.358,"2017","10",2016-10-19,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Hemiptera","","","","","","","Hemiptera","Winter","Wet","Fall",2016,10
"2016-10-31 09:18:00","STTD",2017,"Wet",FALSE,19.697869049869,1,"Terrestrial Non-Insect",68,"Order","Collembola",NA,3,0.152,0.152,"2017","10",2016-10-31,"Animalia","Arthropoda","Hexapoda","Insecta","","","","Collembola","","","","","","","Collembola","Winter","Wet","Fall",2016,10
"2016-10-31 09:18:00","STTD",2017,"Wet",FALSE,19.697869049869,1,"Terrestrial Insect",63,"Order","Coleoptera","Adults",1,0.051,0.051,"2017","10",2016-10-31,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","","","","","","","Coleoptera","Winter","Wet","Fall",2016,10
"2016-10-31 09:18:00","STTD",2017,"Wet",FALSE,19.697869049869,1,"Terrestrial Insect",71,"Order","Hemiptera","Adults",4,0.203,0.203,"2017","10",2016-10-31,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Hemiptera","","","","","","","Hemiptera","Winter","Wet","Fall",2016,10
"2016-10-31 09:18:00","STTD",2017,"Wet",FALSE,19.697869049869,1,"Terrestrial Insect",64,"Order","Diptera","Adults",1,0.051,0.051,"2017","10",2016-10-31,"Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","","","","","","","Diptera","Winter","Wet","Fall",2016,10
"2016-10-31 09:18:00","STTD",2017,"Wet",FALSE,19.697869049869,1,"Terrestrial Insect",66,"Order","Hymenoptera","Adults",2,0.102,0.102,"2017","10",2016-10-31,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Hymenoptera","","","","","","","Hymenoptera","Winter","Wet","Fall",2016,10
"2016-10-31 09:18:00","STTD",2017,"Wet",FALSE,19.697869049869,1,"Aquatic Non-Insect",94,"Family","Unionicolidae",NA,1,0.051,0.051,"2017","10",2016-10-31,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","","Acariformes","Trombidiformes","","","","Unionicolidae","","","Unionicolidae","Winter","Wet","Fall",2016,10
"2016-10-31 09:18:00","STTD",2017,"Wet",FALSE,19.697869049869,1,"Aquatic Non-Insect",21,"Family","Planorbidae",NA,2,0.102,0.102,"2017","10",2016-10-31,"Animalia","Mollusca","","Gastropoda","Heterobranchia","","","Hygrophila","","","Planorboidea","Planorbidae","","","Planorbidae","Winter","Wet","Fall",2016,10
