Station,Inundation,Date,fWY,WY,WYClass,fMonth,Season1,Season2,Season3,VolumeAdj,CPUEDaily,CountDaily
SHR,FALSE,2016-10-05,2017,2017,Wet,10,Wet,Winter,Fall,26.6388349308349,1.09,29
SHR,FALSE,2016-10-19,2017,2017,Wet,10,Wet,Winter,Fall,25.1651132651133,1.6300000000000001,41
SHR,FALSE,2016-11-01,2017,2017,Wet,11,Wet,Winter,Fall,31.9021265941266,4.604,147
SHR,FALSE,2016-11-18,2017,2017,Wet,11,Wet,Winter,Fall,31.8823892503893,1.096,35
SHR,FALSE,2016-11-29,2017,2017,Wet,11,Wet,Winter,Fall,32.0995000315,2.397,77
SHR,FALSE,2017-05-31,2017,2017,Wet,5,Dry,Spring,Spring,16.9275158004158,0.295,5
SHR,FALSE,2017-06-13,2017,2017,Wet,6,Dry,SummerFall,Spring,14.5470358974359,1.375,20
SHR,FALSE,2017-06-27,2017,2017,Wet,6,Dry,SummerFall,Spring,9.21076041076041,2.064,19
SHR,FALSE,2017-07-18,2017,2017,Wet,7,Dry,SummerFall,Summer,13.6056089496089,0.511,7
SHR,FALSE,2017-08-01,2017,2017,Wet,8,Dry,SummerFall,Summer,31.7179113859114,0.982,31
SHR,FALSE,2017-08-15,2017,2017,Wet,8,Dry,SummerFall,Summer,44.5274474714475,1.075,48
SHR,FALSE,2017-09-12,2017,2017,Wet,9,Dry,SummerFall,Summer,42.5602922122922,2.3930000000000002,102
SHR,FALSE,2017-09-19,2017,2017,Wet,9,Dry,SummerFall,Summer,33.9548103428103,1.322,45
SHR,FALSE,2017-10-03,2018,2018,Average,10,Wet,Winter,Fall,32.6192500832501,2.117,69
SHR,FALSE,2017-10-17,2018,2018,Average,10,Wet,Winter,Fall,34.0206014886015,11.813,402
SHR,FALSE,2017-11-01,2018,2018,Average,11,Wet,Winter,Fall,29.9349713349713,2.3360000000000003,70
SHR,FALSE,2017-11-14,2018,2018,Average,11,Wet,Winter,Fall,28.3559838359838,2.503,71
SHR,FALSE,2017-11-28,2018,2018,Average,11,Wet,Winter,Fall,30.4481422721423,3.484,106
SHR,FALSE,2017-12-14,2018,2018,Average,12,Wet,Winter,Fall,29.1915313875314,1.951,57
SHR,FALSE,2017-12-19,2018,2018,Average,12,Wet,Winter,Fall,29.8494428454428,1.109,33
SHR,FALSE,2018-01-04,2018,2018,Average,1,Wet,Winter,Winter,26.5730437850438,1.659,44
SHR,FALSE,2018-01-18,2018,2018,Average,1,Wet,Winter,Winter,31.2442151362151,3.072,96
SHR,FALSE,2018-01-31,2018,2018,Average,1,Wet,Winter,Winter,36.7969878409878,0.434,16
SHR,FALSE,2018-02-14,2018,2018,Average,2,Wet,Spring,Winter,29.224426960427,12.862,376
SHR,FALSE,2018-02-27,2018,2018,Average,2,Wet,Spring,Winter,31.7047531567532,0.633,20
SHR,FALSE,2018-04-24,2018,2018,Average,4,Dry,Spring,Spring,30.215201039501,15.154,458
SHR,FALSE,2018-05-02,2018,2018,Average,5,Dry,Spring,Spring,30.3626137826138,0.6930000000000001,21
SHR,FALSE,2018-05-16,2018,2018,Average,5,Dry,Spring,Spring,26.1717177957178,3.78,99
SHR,FALSE,2018-05-29,2018,2018,Average,5,Dry,Spring,Spring,29.1783731583732,2.569,75
SHR,FALSE,2018-06-13,2018,2018,Average,6,Dry,SummerFall,Spring,29.6454902934903,3.982,118
SHR,FALSE,2018-06-27,2018,2018,Average,6,Dry,SummerFall,Spring,31.6521202401202,1.582,50
SHR,FALSE,2018-07-12,2018,2018,Average,7,Dry,SummerFall,Summer,30.7836771156771,11.951,368
SHR,FALSE,2018-07-25,2018,2018,Average,7,Dry,SummerFall,Summer,30.8428891468891,22.304000000000002,688
SHR,FALSE,2018-08-09,2018,2018,Average,8,Dry,SummerFall,Summer,39.6391653391653,0.502,20
SHR,FALSE,2018-08-23,2018,2018,Average,8,Dry,SummerFall,Summer,53.0342426222426,20.895,1108
SHR,FALSE,2018-09-06,2018,2018,Average,9,Dry,SummerFall,Summer,45.244570960571,0.132,6
SHR,FALSE,2018-09-20,2018,2018,Average,9,Dry,SummerFall,Summer,39.619427995428,3.153,125
SHR,FALSE,2018-10-11,2019,2019,Wet,10,Wet,Winter,Fall,30.0270789390789,0.798,24
SHR,FALSE,2019-05-07,2019,2019,Wet,5,Dry,Spring,Spring,22.6847870687871,1.1,25
SHR,FALSE,2019-05-21,2019,2019,Wet,5,Dry,Spring,Spring,30.1389238869239,0.9930000000000001,30
SHR,FALSE,2019-06-04,2019,2019,Wet,6,Dry,SummerFall,Spring,38.2904468504469,15.482999999999999,593
SHR,FALSE,2019-06-18,2019,2019,Wet,6,Dry,SummerFall,Spring,41.6655326295326,6.336,264
SHR,FALSE,2019-07-02,2019,2019,Wet,7,Dry,SummerFall,Summer,39.6260071100071,0.42700000000000005,17
SHR,FALSE,2019-07-16,2019,2019,Wet,7,Dry,SummerFall,Summer,39.5338995058995,0.8089999999999999,32
SHR,FALSE,2019-08-05,2019,2019,Wet,8,Dry,SummerFall,Summer,37.0469941949942,0.675,25
SHR,FALSE,2019-08-19,2019,2019,Wet,8,Dry,SummerFall,Summer,44.1655961695962,0.45599999999999996,20
SHR,FALSE,2019-09-16,2019,2019,Wet,9,Dry,SummerFall,Summer,44.7577164817165,27.165,1216
SHR,FALSE,2019-09-30,2019,2019,Wet,9,Dry,SummerFall,Summer,39.4615292455292,1.088,43
SHR,TRUE,2016-12-14,2017,2017,Wet,12,Wet,Winter,Fall,26.2769836289836,0.836,22
SHR,TRUE,2016-12-21,2017,2017,Wet,12,Wet,Winter,Fall,37.2245625086625,0.62,23
SHR,TRUE,2016-12-29,2017,2017,Wet,12,Wet,Winter,Fall,20.2601876645877,0.197,4
SHR,TRUE,2017-01-10,2017,2017,Wet,1,Wet,Winter,Winter,23.1566941787942,1.079,25
SHR,TRUE,2017-01-23,2017,2017,Wet,1,Wet,Winter,Winter,16.1626906444906,0.31,5
SHR,TRUE,2017-02-07,2017,2017,Wet,2,Wet,Spring,Winter,20.2110422730423,0.64,13
SHR,TRUE,2017-02-23,2017,2017,Wet,2,Wet,Spring,Winter,19.0438392238392,0.211,4
SHR,TRUE,2017-03-08,2017,2017,Wet,3,Wet,Spring,Winter,20.1035367290367,0.847,17
SHR,TRUE,2017-03-21,2017,2017,Wet,3,Wet,Spring,Winter,16.3377711018711,0.244,4
SHR,TRUE,2017-04-04,2017,2017,Wet,4,Dry,Spring,Spring,16.3224131670132,0.612,10
SHR,TRUE,2017-04-19,2017,2017,Wet,4,Dry,Spring,Spring,19.7165167706168,0.457,9
