Date,StationCode,Time,MicrocystisVisualRank,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,LightData,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,WY
10/4/2016,STTD,11:33,,16.3,0.23,166,199,7.23,8.33,35.6,TRUE,2285,0.07,1734.2,0.26,1143.4,0.45,570.9,1.48,22.81,WY17
10/5/2016,SHR,10:25,,16.04,2.1,94,113,7.68,10.15,4.6,TRUE,2199,0.04,1639,0.21,1109,1.11,544,2.17,219,WY17
10/19/2016,SHR,10:30,,15.6,1.7,98,117,7.17,9.77,5.24,TRUE,2489,0.04,1830,0.14,1214.3,0.74,637,2.22,146.3,WY17
10/18/2016,STTD,9:13,,17.03,0.3,153,180,7.35,8.81,27.7,TRUE,2099,0.07,1569.3,0.22,1039.5,0.46,526.1,1.47,22.32,WY17
11/29/2016,SHR,10:15,1,10.3,0.75,115,161,7.42,10.07,12.6,TRUE,1119,0.04,837.3,0.13,529.1,0.51,277.2,2.19,11.45,WY17
11/28/2016,STTD,9:28,,12.1,0.54,280,371,7.79,8.67,12.9,TRUE,606.4,0.04,462.3,0.06,301.6,0.29,156.33,1.58,6.11,WY17
11/18/2016,SHR,9:47,,13.2,1.3,133,172,7.67,9.45,4.7,TRUE,2203,0.05,1618,0.07,1109,0.75,544.9,2.55,79.09,WY17
11/14/2016,STTD,9:00,,16.7,0.77,197,234,7.99,8.29,11.1,TRUE,1997.6,0.04,1477.7,0.12,986.5,0.49,497.8,2.25,19.8,WY17
11/1/2016,SHR,10:00,,15.1,0.81,130.9,161.5,7.42,8.72,7.6,TRUE,2466,0.08,1768.8,0.17,1218.3,0.58,609.8,2.08,39.21,WY17
10/31/2016,STTD,9:18,,17,0.48,160.6,188.7,7.73,8.02,17.1,TRUE,1264,0.04,97.1,0.19,632,0.41,297,1.49,13.54,WY17
12/13/2016,STTD,9:17,1,9.9,0.48,463,463,7.74,8.26,17.7,TRUE,429.4,0.03,326.9,0.06,218.3,0.23,110.14,1.35,4.78,WY17
12/14/2016,SHR,8:28,1,10,0.16,76,106.5,7.27,10.12,73.5,TRUE,412.9,0.04,304.9,0.09,206.7,0.2,100.82,0.68,4.12,WY17
12/21/2016,SHR,8:16,1,8.4,0.23,72,105,7.24,10.39,44.1,TRUE,323.1,0.04,240.7,0.08,162.8,0.23,80.67,0.94,2.94,WY17
12/21/2016,STTD,13:21,,8.6,0.13,105,153,7.45,8.19,72.2,TRUE,1974.4,0.07,1407.3,0.09,987.2,0.15,456,0.6,19.84,WY17
12/27/2016,STTD,10:00,1,6.2,0.32,281,438,7.56,9.01,35.4,TRUE,1893.1,0.05,1479.4,0.07,960.4,0.13,495,0.83,18.42,WY17
12/29/2016,SHR,8:12,1,7.4,0.35,85,128,7.52,10.97,20.7,TRUE,1450.9,0.05,1055.6,0.06,778.4,0.12,363.5,1.3,14.24,WY17
1/10/2017,SHR,9:41,1,9.6,0.13,45,63.8,6.79,11.46,98.7,TRUE,338.5,0.04,254,0.08,168.9,0.15,84.8,0.52,3.4,WY17
1/11/2017,STTD,10:50,1,10.3,0.13,,72,7.27,10.32,95.8,FALSE,,,,,,,,,,WY17
1/18/2017,STTD,11:00,,8.2,0.21,67,98,7.1,10.36,44,TRUE,73.55,0.07,50.21,0.14,38.39,0.3,18.67,1.08,0.076,WY17
1/23/2017,SHR,9:45,1,8.8,0.16,66,96.3,7.36,11.03,55,TRUE,2268,0.07,1737.2,0.09,1171.8,0.18,588,0.74,23.1,WY17
1/24/2017,STTD,9:20,1,8.8,0.14,78,113,7.44,10.47,73.6,TRUE,1901.9,0.05,1457.6,0.09,981.5,0.18,478.7,0.82,19.08,WY17
2/2/2017,STTD,10:10,1,9.4,0.23,130.8,186,7.48,9.59,37.7,TRUE,1880.7,0.03,1462.9,0.08,943.3,0.29,471.5,1.11,18.37,WY17
2/6/2017,STTD,10:45,1,10.9,0.23,114,156,7.62,10.14,43.6,TRUE,365.8,0.05,277.5,0.13,180.1,0.32,91.7,0.96,0.368,WY17
2/7/2017,SHR,9:00,,9.6,0.45,59.1,84,7.5,11.53,28.5,TRUE,155.31,0.02,118.47,0.06,77.01,0.28,38.65,1.34,1.36,WY17
2/16/2017,STTD,11:50,,10.1,0.2,54.4,76,7.4,11.15,49.8,TRUE,505.2,0.02,378,0.12,256.4,0.28,126.6,0.93,5.39,WY17
2/22/2017,STTD,9:30,,10,0.18,52.7,73.9,7.58,10.99,51.8,TRUE,2558,0.045,1927.8,0.12,1213.6,0.24,649.5,0.92,26.16,WY17
2/23/2017,SHR,8:08,,9.2,0.21,46,65.8,7.51,11.8,42.2,TRUE,1979.5,0.04,1491.6,0.07,947.6,0.16,493.5,0.93,20.1,WY17
3/8/2017,SHR,8:05,,9.8,0.22,87,123,7.49,10.68,37.4,TRUE,2117,0.06,1619,0.11,1024,0.22,513,1.01,21.67,WY17
3/9/2017,STTD,10:12,1,11.7,0.21,107,144,7.61,10.15,36,TRUE,2486,0.13,1866.6,0.26,1245.6,0.44,628.9,0.85,93.6,WY17
3/14/2017,STTD,9:40,1,17.2,0.29,340,400,8.09,10.19,22.9,TRUE,2085,0.08,1563.8,0.17,1045.4,0.37,528.8,0.9,63.12,WY17
3/22/2017,STTD,9:30,1,15.5,0.42,297,363,8.14,8.91,27.3,TRUE,988.7,0.04,760,0.1,493.9,0.35,243.4,1.09,11.63,WY17
3/21/2017,SHR,10:52,1,11.7,0.4,79,106.5,7.59,10.86,31.9,TRUE,2600,0.07,1941,0.24,1293,0.42,676,1.33,28,WY17
4/5/2017,STTD,9:46,1,17,0.26,414,489,8.14,8.33,33.8,TRUE,2060,0.04,1550,0.1,1034,0.26,509,0.9,21.6,WY17
4/4/2017,SHR,8:40,,13.5,0.3,98,125,7.56,10.31,26.5,TRUE,1857,0.03,1380.6,0.15,924.9,0.31,464.9,1.29,18.9,WY17
3/28/2017,STTD,9:05,,13.4,0.33,157,201,7.84,9.94,21.8,TRUE,2119,0.05,1584.4,0.17,1058.5,0.33,530.4,1.37,20.89,WY17
5/5/2017,STTD,10:25,1,20.1,0.21,225,249,8.09,8.11,28.8,TRUE,2140,0.09,1611.4,0.2,1079.2,0.34,533.7,1,44.4,WY17
5/4/2017,SHR,10:08,1,16.4,0.42,83,100,7.55,9.73,14.7,TRUE,2472,0.09,1852,0.29,1231,0.65,643,2.09,29,WY17
4/26/2017,STTD,9:49,1,15.7,0.41,99.3,121,7.11,9.53,18,TRUE,529.8,0.04,391.1,0.09,267.4,0.4,128.8,0.96,6.2,WY17
4/19/2017,SHR,8:48,1,12.1,1,66,87.4,7.25,11.02,18.8,TRUE,2231,0.04,1696,0.12,1154,0.42,551,1.59,25,WY17
4/18/2017,STTD,9:40,1,13.4,0.33,100,129,7.24,9.26,22,TRUE,2524,0.07,1811,0.29,1282,0.47,626,1.13,19.3,WY17
