Date,StationCode,Time,MicrocystisVisualRank,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,LightData,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,WY,Z,Z(lnlz),z^2,VEC
10/11/2018,SHR,9:07:00 AM,1,17.4,2.2,109,127,7.68,8.98,4.6,TRUE,2013,0.04,1530.6,0.12,1014.7,1.09,504.9,2.48,130.01,WY19,3.73,19.98024742,7.3545,31.06474742
9/20/2018,SHR,9:45:00 AM,1,18,1.7,111,128,7.7,9.06,8,TRUE,2357,0.05,1706.9,0.26,1170.1,0.96,583.3,2.5,103.75,WY18,3.77,19.92789524,7.2417,30.93959524
5/2/2018,SHR,10:12:00 AM,1,16.9,1.45,110,142,7.93,9.65,2.9,TRUE,2446,0.05,1810.5,0.28,1229.2,1.11,610.6,2.19,207.7,WY18,3.63,21.17309936,6.1091,30.91219936
7/12/2018,SHR,9:15:00 AM,1,21.7,1.1,98,104,7.55,8.62,6.7,TRUE,2520,0.07,1882.5,0.27,1254.2,0.89,630.1,2.5,102.41,WY18,3.73,19.76336609,7.1199,30.61326609
10/17/2017,SHR,9:50:00 AM,,14.8,1.5,90,112,7.17,9.88,0.6,TRUE,1237.9,0.08,923.2,0.22,618.9,1.53,209.1,2.18,70.91,WY18,4.01,19.42475557,7.1481,30.58285557
9/19/2017,SHR,9:35:00 AM,,18.9,0.95,101,116,7.55,9.14,3.5,TRUE,2213,0.09,1688.5,0.29,1114.9,0.86,553.1,2.49,95.02,WY17,3.73,19.47467542,7.0319,30.23657542
10/5/2016,SHR,10:25:00 AM,,16.04,2.1,94,113,7.68,10.15,4.6,TRUE,2199,0.04,1639,0.21,1109,1.11,544,2.17,219,WY17,3.53,20.45454792,5.9867,29.97124792
7/25/2018,SHR,9:59:00 AM,1,22.3,1.1,106,112,7.68,8.57,3.9,TRUE,2507,0.03,1885.1,0.23,1267.3,1,624,2.34,114.5,WY18,3.6,19.39861564,6.5294,29.52801564
11/9/2018,SHR,9:29:00 AM,1,12.8,3.5,106,138,7.84,9.87,4.6,TRUE,1966.2,0.04,1462.2,0.07,978.2,0.91,499.2,2.48,152.4,WY19,3.5,18.89308553,6.985,29.37808553
10/3/2017,SHR,9:48:00 AM,,16,1.01,81,98,7.81,9.64,1.2,TRUE,2309,0.04,1771,0.24,1168.9,1,573.2,2.28,130.06,WY18,3.56,19.44475371,6.2576,29.26235371
6/13/2018,SHR,9:40:00 AM,1,21.1,1.32,112.8,121.9,7.58,8.79,3.8,TRUE,2318,0.03,1765.3,0.32,1152.1,0.84,572.7,2.29,180.2,WY18,3.48,19.70878992,6.053,29.24178992
6/27/2018,SHR,9:35:00 AM,1,21.6,1.25,100,106,7.57,8.58,4.9,TRUE,2365,0.07,1775.5,0.24,1186.4,0.97,591.6,2.22,142.82,WY18,3.5,19.42867625,5.9318,28.86047625
7/16/2019,SHR,9:40:00 AM,1,22,1.01,100,106,7.78,8.48,9.1,TRUE,1466.3,0.06,1467.7,0.49,734.5,0.97,371.6,2.19,82.21,WY19,3.71,19.06769019,5.9807,28.75839019
8/23/2018,SHR,8:55:00 AM,1,20.3,1.91,133,146,7.47,8.62,5.5,TRUE,2097,0.06,1579.6,0.27,1047.2,0.98,538.3,2.19,125.84,WY18,3.5,19.07076429,5.833,28.40376429
10/26/2018,SHR,9:01:00 AM,1,15.9,,106,129,7.68,9.47,5.8,TRUE,1955.3,0.07,1453,0.1,975,0.77,498,2.48,115.5,WY19,3.42,17.75829372,6.7582,27.93649372
7/2/2019,SHR,9:56:00 AM,1,20.3,1.23,87,96,7.79,8.86,7.8,TRUE,2229,0.03,1634,0.36,1122,1.07,550,1.93,178,WY19,3.39,19.50265091,5.0003,27.89295091
6/27/2017,SHR,8:56:00 AM,1,20.6,1.8,88.4,96.5,7.1,8.76,4.5,TRUE,2301,0.05,1732,0.33,1153,0.86,575,2.18,130,WY17,3.42,18.77537537,5.6034,27.79877537
8/15/2017,SHR,9:36:00 AM,1,20.6,0.85,102,111,7.52,8.66,8.4,TRUE,2274,0.04,1712,0.26,1131,0.78,568,2.42,75,WY17,3.5,17.52101559,6.534,27.55501559
8/5/2019,SHR,9:14:00 AM,1,21.2,1.4,104,112,7.76,8.67,8,TRUE,2335,0.06,1746,0.23,1165,0.86,589,2.22,120,WY19,3.37,18.18549272,5.7245,27.27999272
