"Date","StationCode","biovolume","Year","month","WaterYear"
2017-01-10,"SHR",1342731.0639,2017,1,"2017"
2017-01-11,"LIS",19543377.796377,2017,1,"2017"
2017-01-11,"STTD",1904084.79199,2017,1,"2017"
2018-01-17,"LIS",4641412.224683,2018,1,"2018"
2018-01-17,"STTD",3028190.840188,2018,1,"2018"
2017-01-18,"LIS",395734.80242,2017,1,"2017"
2017-01-18,"STTD",495049.4098,2017,1,"2017"
2018-01-18,"SHR",3142524.34897,2018,1,"2018"
2018-01-02,"LIS",6650441.366344,2018,1,"2018"
2018-01-02,"STTD",11386962.96034,2018,1,"2018"
2019-01-22,"LIS",4909310.74073,2019,1,"2019"
2019-01-22,"STTD",1494713.37763,2019,1,"2019"
2017-01-23,"SHR",1374398.97284,2017,1,"2017"
2019-01-23,"SHR",5519658.15308,2019,1,"2019"
2017-01-24,"LIS",737670.52038,2017,1,"2017"
2017-01-24,"STTD",1688377.36752,2017,1,"2017"
2018-01-30,"LIS",2473268.68405,2018,1,"2018"
2018-01-30,"STTD",2298356.44364,2018,1,"2018"
2017-01-31,"LIS",1217007.548377,2017,1,"2017"
2018-01-04,"SHR",2141731.47432,2018,1,"2018"
2019-01-08,"LIS",2891206.95738,2019,1,"2019"
2019-01-08,"STTD",5410606.33966,2019,1,"2019"
2019-01-09,"SHR",6878736.585074,2019,1,"2019"
2018-10-10,"LIS",222577.73722,2018,10,"2019"
2018-10-10,"STTD",1088566.61111,2018,10,"2019"
2018-10-11,"SHR",160528.570884,2018,10,"2019"
2018-10-17,"SHR",1580103.65918,2018,10,"2019"
2016-10-18,"LIS",2373547.39585,2016,10,"2017"
2016-10-18,"STTD",1284446.985103,2016,10,"2017"
2018-10-18,"LIS",302529.67858,2018,10,"2019"
2018-10-18,"STTD",197715.19741,2018,10,"2019"
2016-10-19,"SHR",1542361.414561,2016,10,"2017"
2017-10-19,"LIS",2300904.06779,2017,10,"2018"
2017-10-19,"STTD",779014.84585,2017,10,"2018"
2018-10-25,"LIS",494217.05624,2018,10,"2019"
2018-10-25,"STTD",173097.36857,2018,10,"2019"
2018-10-26,"SHR",212187.491149,2018,10,"2019"
2017-10-03,"SHR",870838.7069446,2017,10,"2018"
2016-10-31,"LIS",2190637.4017,2016,10,"2017"
2016-10-31,"STTD",1594518.653798,2016,10,"2017"
2016-10-04,"LIS",4592457.623514,2016,10,"2017"
2016-10-04,"STTD",4845865.356731,2016,10,"2017"
2017-10-04,"LIS",2221127.1918,2017,10,"2018"
2017-10-04,"STTD",313215.035345,2017,10,"2018"
2018-10-04,"LIS",244098.12516,2018,10,"2019"
2018-10-04,"STTD",320405.1468,2018,10,"2019"
2016-10-05,"SHR",90389.0102414,2016,10,"2017"
2016-11-01,"SHR",1052329.28689,2016,11,"2017"
2017-11-01,"SHR",711566.1442034,2017,11,"2018"
2018-11-01,"LIS",543739.01592,2018,11,"2019"
2018-11-01,"STTD",270817.120749,2018,11,"2019"
2016-11-14,"LIS",12488238.496108,2016,11,"2017"
2016-11-14,"STTD",898766.113889,2016,11,"2017"
2017-11-14,"SHR",1423182.62075,2017,11,"2018"
2017-11-15,"LIS",1748334.95152,2017,11,"2018"
2017-11-15,"STTD",1436833.6421,2017,11,"2018"
2016-11-18,"SHR",79921.261954,2016,11,"2017"
2017-11-02,"LIS",1371780.88063,2017,11,"2018"
2017-11-02,"STTD",504731.66444,2017,11,"2018"
2018-11-26,"LIS",259557.403902,2018,11,"2019"
2018-11-26,"STTD",109599.715095,2018,11,"2019"
2018-11-27,"SHR",7658213.54599,2018,11,"2019"
2016-11-28,"LIS",1305696.976006,2016,11,"2017"
2016-11-28,"STTD",6828668.132264,2016,11,"2017"
2017-11-28,"SHR",1197312.03168,2017,11,"2018"
2016-11-29,"SHR",724502.732036,2016,11,"2017"
2017-11-29,"LIS",3486945.55029,2017,11,"2018"
2017-11-29,"STTD",1694031.193438,2017,11,"2018"
2018-11-08,"LIS",151291.95231,2018,11,"2019"
2018-11-08,"STTD",66028.58631,2018,11,"2019"
2018-11-09,"SHR",331741.152883,2018,11,"2019"
2018-12-11,"LIS",136942.0461,2018,12,"2019"
2018-12-11,"STTD",426145.467384,2018,12,"2019"
2018-12-12,"SHR",146041.358665,2018,12,"2019"
