"Date","StationCode","Result","Year","month","WaterYear"
2017-01-10,"SHR",2.555,2017,1,"2017"
2017-01-11,"LIS",1.13,2017,1,"2017"
2017-01-11,"STTD",1.885,2017,1,"2017"
2018-01-17,"LIS",12.43,2018,1,"2018"
2018-01-17,"STTD",10.215,2018,1,"2018"
2017-01-18,"LIS",1.665,2017,1,"2017"
2017-01-18,"STTD",1.295,2017,1,"2017"
2018-01-18,"SHR",4.32,2018,1,"2018"
2018-01-02,"LIS",27.14,2018,1,"2018"
2018-01-02,"STTD",22.735,2018,1,"2018"
2019-01-22,"LIS",3.845,2019,1,"2019"
2019-01-22,"STTD",2.87,2019,1,"2019"
2017-01-23,"SHR",1.18,2017,1,"2017"
2019-01-23,"SHR",2.37,2019,1,"2019"
2017-01-24,"LIS",1.015,2017,1,"2017"
2017-01-24,"STTD",1.155,2017,1,"2017"
2018-01-30,"LIS",16,2018,1,"2018"
2018-01-30,"STTD",16.01,2018,1,"2018"
2017-01-31,"LIS",1.48,2017,1,"2017"
2018-01-31,"SHR",2.575,2018,1,"2018"
2018-01-04,"SHR",2.8,2018,1,"2018"
2019-01-08,"LIS",5.305,2019,1,"2019"
2019-01-08,"STTD",4.22,2019,1,"2019"
2019-01-09,"SHR",4.29,2019,1,"2019"
2018-10-10,"LIS",1.09,2018,10,"2019"
2018-10-11,"SHR",0.615,2018,10,"2019"
2017-10-17,"SHR",2.825,2017,10,"2018"
2016-10-18,"LIS",4.82,2016,10,"2017"
2016-10-18,"STTD",2.13,2016,10,"2017"
2018-10-18,"LIS",3.54,2018,10,"2019"
2016-10-19,"SHR",0.81,2016,10,"2017"
2017-10-19,"LIS",5.415,2017,10,"2018"
2017-10-19,"STTD",1.17,2017,10,"2018"
2018-10-26,"SHR",0.935,2018,10,"2019"
2017-10-03,"SHR",2.23,2017,10,"2018"
2016-10-31,"LIS",5.77,2016,10,"2017"
2016-10-31,"STTD",2.395,2016,10,"2017"
2016-10-04,"LIS",10.435,2016,10,"2017"
2016-10-04,"STTD",4.16,2016,10,"2017"
2017-10-04,"LIS",4.875,2017,10,"2018"
2017-10-04,"STTD",1.92,2017,10,"2018"
2018-10-04,"LIS",3.37,2018,10,"2019"
2016-10-05,"SHR",1.085,2016,10,"2017"
2016-11-01,"SHR",1.475,2016,11,"2017"
2017-11-01,"SHR",1.92,2017,11,"2018"
2016-11-14,"LIS",17.675,2016,11,"2017"
2016-11-14,"STTD",3.23,2016,11,"2017"
2017-11-14,"SHR",2.945,2017,11,"2018"
2017-11-15,"LIS",12.755,2017,11,"2018"
2017-11-15,"STTD",2.005,2017,11,"2018"
2016-11-18,"SHR",0.715,2016,11,"2017"
2017-11-02,"LIS",6.61,2017,11,"2018"
2017-11-02,"STTD",1.615,2017,11,"2018"
2018-11-26,"LIS",4.885,2018,11,"2019"
2018-11-26,"STTD",0.71,2018,11,"2019"
2018-11-27,"SHR",3.065,2018,11,"2019"
2016-11-28,"LIS",5.03,2016,11,"2017"
2016-11-28,"STTD",12.77,2016,11,"2017"
2017-11-28,"SHR",2.77,2017,11,"2018"
2016-11-29,"SHR",1.625,2016,11,"2017"
2017-11-29,"LIS",14.255,2017,11,"2018"
2017-11-29,"STTD",4.64,2017,11,"2018"
2018-11-08,"LIS",4.45,2018,11,"2019"
2018-11-08,"STTD",1.065,2018,11,"2019"
2018-11-09,"SHR",0.85,2018,11,"2019"
2018-12-11,"LIS",3.98,2018,12,"2019"
2018-12-11,"STTD",0.85,2018,12,"2019"
2018-12-12,"SHR",1.415,2018,12,"2019"
2016-12-13,"LIS",5.9,2016,12,"2017"
2016-12-13,"STTD",5.72,2016,12,"2017"
2017-12-13,"LIS",32.575,2017,12,"2018"
2017-12-13,"STTD",1.17,2017,12,"2018"
2016-12-14,"SHR",2.84,2016,12,"2017"
2017-12-14,"SHR",2.915,2017,12,"2018"
2017-12-19,"SHR",3.925,2017,12,"2018"
2017-12-20,"LIS",20.125,2017,12,"2018"
2017-12-20,"STTD",1.655,2017,12,"2018"
2016-12-21,"LIS",2.24,2016,12,"2017"
2016-12-21,"SHR",1.57,2016,12,"2017"
2016-12-21,"STTD",2.76,2016,12,"2017"
2018-12-26,"LIS",4.54,2018,12,"2019"
2018-12-26,"STTD",1.7,2018,12,"2019"
2016-12-27,"LIS",7.12,2016,12,"2017"
2016-12-27,"STTD",5.955,2016,12,"2017"
2018-12-27,"SHR",1.89,2018,12,"2019"
2016-12-29,"SHR",1.635,2016,12,"2017"
2018-02-13,"LIS",12.7,2018,2,"2018"
2018-02-13,"STTD",12.13,2018,2,"2018"
2018-02-14,"SHR",2.805,2018,2,"2018"
2017-02-16,"STTD",0.81,2017,2,"2017"
2019-02-19,"LIS",1.695,2019,2,"2019"
2019-02-19,"STTD",1.585,2019,2,"2019"
2017-02-02,"STTD",2.29,2017,2,"2017"
2019-02-20,"SHR",1.285,2019,2,"2019"
