"","Station.Code","Date","Time","WaterTemperature","SecchiDiskDepth","EC","SpCnd","pH","DO","Turbidity","ZoopNetType","StartMeter","EndMeter","FlowMeterSpeed","VolMeso","SubMeso","VolMicro","SubMicro","Count","Subsample","OrganismID","Classification","Organism","Year","Month","WY","CPUE","StageHeight_FW","Inundated","StageHeight_Ist","Estimated_Inundation","Inundation","InunMag","Season1","Season2","WY.Class"
"1","STTD",2016-10-04,"11:33",16.3,0.23,166,199,7.23,8.33,35.6,150,959962,961000,"Low",85,0.2,85,0.5,161,1,1,"Microzooplankton_Nauplii","Rotifers","2016","10","WY17",2334.24565416029,15.89,"No",6.26,"No",FALSE,"Low","Oct-April","Fall","Wet"
"2","STTD",2016-10-04,"11:33",16.3,0.23,166,199,7.23,8.33,35.6,150,959962,961000,"Low",85,0.2,85,0.5,191,1,3,"Microzooplankton_Nauplii","Copepod nauplii","2016","10","WY17",2769.19826052556,15.89,"No",6.26,"No",FALSE,"Low","Oct-April","Fall","Wet"
"3","STTD",2016-10-04,"11:33",16.3,0.23,166,199,7.23,8.33,35.6,150,959962,961000,"Low",85,0.2,85,0.5,3,1,6,"Microzooplankton_Nauplii","Ostracods","2016","10","WY17",43.4952606365272,15.89,"No",6.26,"No",FALSE,"Low","Oct-April","Fall","Wet"
"4","STTD",2016-10-04,"11:33",16.3,0.23,166,199,7.23,8.33,35.6,150,959962,961000,"Low",85,0.2,85,0.5,4,1,8,"Cyclopoids","Cyclopoid copepodid","2016","10","WY17",144.984202121757,15.89,"No",6.26,"No",FALSE,"Low","Oct-April","Fall","Wet"
"5","STTD",2016-10-04,"11:33",16.3,0.23,166,199,7.23,8.33,35.6,150,959962,961000,"Low",85,0.2,85,0.5,1,1,107,"Cyclopoids","Paracyclops spp.","2016","10","WY17",36.2460505304393,15.89,"No",6.26,"No",FALSE,"Low","Oct-April","Fall","Wet"
"6","STTD",2016-10-04,"11:33",16.3,0.23,166,199,7.23,8.33,35.6,150,959962,961000,"Low",85,0.2,85,0.5,214,1,64,"Calanoids","Calanoid copepodids","2016","10","WY17",7756.65481351401,15.89,"No",6.26,"No",FALSE,"Low","Oct-April","Fall","Wet"
"7","STTD",2016-10-04,"11:33",16.3,0.23,166,199,7.23,8.33,35.6,150,959962,961000,"Low",85,0.2,85,0.5,3,1,23,"Calanoids","Pseudodiaptomus forbesi adult","2016","10","WY17",108.738151591318,15.89,"No",6.26,"No",FALSE,"Low","Oct-April","Fall","Wet"
"8","STTD",2016-10-04,"11:33",16.3,0.23,166,199,7.23,8.33,35.6,150,959962,961000,"Low",85,0.2,85,0.5,2,1,43,"Cladocera","Alona","2016","10","WY17",72.4921010608786,15.89,"No",6.26,"No",FALSE,"Low","Oct-April","Fall","Wet"
"9","STTD",2016-10-04,"11:33",16.3,0.23,166,199,7.23,8.33,35.6,150,959962,961000,"Low",85,0.2,85,0.5,3,1,35,"Cladocera","Bosmina","2016","10","WY17",108.738151591318,15.89,"No",6.26,"No",FALSE,"Low","Oct-April","Fall","Wet"
"10","STTD",2016-10-04,"11:33",16.3,0.23,166,199,7.23,8.33,35.6,150,959962,961000,"Low",85,0.2,85,0.5,1,1,39,"Cladocera","Camptocercus","2016","10","WY17",36.2460505304393,15.89,"No",6.26,"No",FALSE,"Low","Oct-April","Fall","Wet"
