"","Date","Station.Code","WY","WY.Class","daily.CPUE"
"1",2016-10-04,"STTD","WY17","Wet",13664.7610499756
"2",2016-10-05,"SHR","WY17","Wet",67.5580592833882
"3",2016-10-18,"STTD","WY17","Wet",4745.14768306016
"4",2016-10-19,"SHR","WY17","Wet",120.391397015574
"5",2016-10-31,"STTD","WY17","Wet",5238.32738574094
"6",2016-11-01,"SHR","WY17","Wet",2213.82086246275
"7",2016-11-14,"STTD","WY17","Wet",2922.43854808363
"8",2016-11-18,"SHR","WY17","Wet",215.365610553397
"9",2016-11-28,"STTD","WY17","Wet",20428.3889179276
"10",2016-11-29,"SHR","WY17","Wet",1000.86889751488
"11",2016-12-13,"STTD","WY17","Wet",2090.01063819423
"12",2016-12-14,"SHR","WY17","Wet",469.185935030961
"13",2016-12-21,"SHR","WY17","Wet",1022.56406129326
"14",2016-12-21,"STTD","WY17","Wet",3462.14592095859
"15",2016-12-27,"STTD","WY17","Wet",3474.33001314876
"16",2016-12-29,"SHR","WY17","Wet",506.822636290774
"17",2017-01-10,"SHR","WY17","Wet",1849.837425435
"18",2017-01-11,"STTD","WY17","Wet",2538.61029828763
"19",2017-01-18,"STTD","WY17","Wet",681.859333971869
"20",2017-01-23,"SHR","WY17","Wet",421.79518807653
"21",2017-01-24,"STTD","WY17","Wet",217.257613553508
"22",2017-02-02,"STTD","WY17","Wet",501.38555048995
"23",2017-02-06,"STTD","WY17","Wet",488.099602338517
"24",2017-02-07,"SHR","WY17","Wet",452.973073062916
"25",2017-02-16,"STTD","WY17","Wet",260.090652291199
"26",2017-02-22,"STTD","WY17","Wet",351.936757194588
"27",2017-02-23,"SHR","WY17","Wet",128.976532181475
"28",2017-03-08,"SHR","WY17","Wet",400.43572844112
"29",2017-03-09,"STTD","WY17","Wet",184.293689928442
"30",2017-03-14,"STTD","WY17","Wet",3418.26799104724
"31",2017-03-21,"SHR","WY17","Wet",2507.58232677036
"32",2017-03-22,"STTD","WY17","Wet",7246.67661356507
"33",2017-03-28,"STTD","WY17","Wet",3606.41731588679
