StationCode,Date,Time,Analyte,Result,Units,Method,Depth,Purpose
LIS,10/4/2016,10:31,DisAmmonia,0.02,mg/L as N,EPA 350.1 [1]*,1,Normal Sample
LIS,10/4/2016,10:31,DisCalcium,14,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample
LIS,10/4/2016,10:31,DisChloride,11,mg/L,EPA 300.0 28d Hold [1]*,1,Normal Sample
LIS,10/4/2016,10:31,DisChloride,11,mg/L,EPA 300.0 28d Hold [1]*,1,Normal Sample
LIS,10/4/2016,10:31,DisNitrateNitrite,0.05,mg/L as N,Std Method 4500-NO3-F (28Day) [1]*,1,Normal Sample
LIS,10/4/2016,10:31,DOC,2.6,mg/L as C,EPA 415.1 (D) Ox [PS-3]*,1,Normal Sample
LIS,10/4/2016,10:31,TOC,2.6,mg/L as C,EPA 415.1 (T) Ox [PS-3]*,1,Normal Sample
LIS,10/4/2016,10:31,DON,0.2,mg/L as N,EPA 351.2/EPA 350.1 (Dissolved [1]*,1,Normal Sample
LIS,10/4/2016,10:31,DOP,0.1,mg/L as P,EPA 365.1 (DWR Modified) [1]*,1,Normal Sample
LIS,10/4/2016,10:31,TOP,0.15,mg/L as P,EPA 365.4 [1]*,1,Normal Sample
LIS,10/4/2016,10:31,DisSilica,15.6,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample
LIS,10/4/2016,10:31,TSS,60,mg/L,EPA 160.2 [1]*,1,Normal Sample
LIS,10/4/2016,10:31,TDS,130,mg/L,Std Method 2540 C [1]*,1,Normal Sample
LIS,10/4/2016,10:31,VSS,8,mg/L,EPA 160.4 [1]*,1,Normal Sample
LIS,10/4/2016,10:31,TSS,61,mg/L,EPA 160.2 [1]*,1,Normal Sample
LIS,10/4/2016,10:31,VSS,8,mg/L,EPA 160.4 [1]*,1,Normal Sample
LIS,10/4/2016,10:31,TKN,0.3,mg/L as N,EPA 351.2 [1]*,1,Normal Sample
STTD,10/18/2016,9:13,DisAmmonia,0.02,mg/L as N,EPA 350.1 [1]*,0,Normal Sample
STTD,10/18/2016,9:13,DisCalcium,12,mg/L,EPA 200.7 (D) [1]*,0,Normal Sample
STTD,10/18/2016,9:13,DisChloride,9,mg/L,EPA 300.0 28d Hold [1]*,0,Normal Sample
STTD,10/18/2016,9:13,DisChloride,9,mg/L,EPA 300.0 28d Hold [1]*,0,Normal Sample
STTD,10/18/2016,9:13,DisNitrateNitrite,0.08,mg/L as N,Std Method 4500-NO3-F (28Day) [1]*,0,Normal Sample
STTD,10/18/2016,9:13,DOC,2.6,mg/L as C,EPA 415.1 (D) Ox [PS-3]*,0,Normal Sample
STTD,10/18/2016,9:13,TOC,2.6,mg/L as C,EPA 415.1 (T) Ox [PS-3]*,0,Normal Sample
